Word1,Word2,Word1_Freq,Word2_Freq,Bigram_Freq
young,man,776,2546,232
time,past,2625,187,16
last,month,1586,356,16
dark,eye,208,1211,13
dark,brown,208,16,10
mutter,something,297,1444,15
hay,market,29,45,20
different,matter,259,609,21
drunken,man,90,2546,13
unknown,reason,67,479,14
stupid,thing,259,1295,11
old,woman,1356,1047,208
good,thing,1595,1295,56
little,eye,1465,1211,13
stand,face,1039,1410,19
good,sir,1595,251,18
little,room,1465,1129,15
alyona,ivanovna,18,635,15
last,time,1586,2625,81
twenty,copeck,188,56,12
whole,month,889,356,16
look,round,2970,493,81
little,table,1465,520,10
chapter,ii,172,56,22
whole,face,889,1410,10
face,seem,1410,1349,10
eye,gleam,1211,47,11
look,straight,2970,290,22
honour,sir,216,251,14
answer,raskolnikov,818,782,16
katerina,ivanovna,427,635,410
catch,cold,309,167,10
little,child,1465,758,42
whole,year,889,871,12
universal,history,40,66,10
great,interest,1202,272,14
poor,girl,422,465,13
little,face,1465,1410,16
sofya,semyonovna,135,71,71
lame,man,46,2546,18
return,home,331,469,38
whole,party,889,145,13
semyon,zaharovitch,51,10,10
great,deal,1202,250,164
next,day,356,1711,117
dear,sir,480,251,18
hear,nothing,1132,1567,20
thou,hast,169,33,24
drink,tea,329,202,10
thirty,year,84,871,12
whisper,something,324,1444,12
next,room,356,1129,41
poor,woman,422,1047,24
hundredth,time,14,2625,11
chapter,iii,172,53,22
much,money,1227,993,13
cry,raskolnikov,1704,782,12
good,god,1595,803,32
turn,pale,1279,238,39
wait,till,639,389,19
thank,god,158,803,36
whole,truth,889,328,40
last,year,1586,871,31
marfa,petrovna,143,507,76
hear,anything,1132,796,12
whole,hour,889,508,18
short,time,273,2625,16
whole,story,889,386,20
whole,town,889,549,36
several,time,212,2625,70
pyotr,petrovitch,834,331,172
whole,day,889,1711,27
feel,sure,533,357,18
good,deal,1595,250,45
good,reason,1595,479,14
many,year,532,871,37
right,hand,927,1662,57
dear,boy,480,461,35
afanasy,ivanovitch,34,82,24
speak,aloud,1198,149,10
chapter,iv,172,45,20
business,man,320,2546,10
avdotya,romanovna,119,112,112
chief,thing,140,1295,24
whole,thing,889,1295,22
last,moment,1586,1301,21
god,bless,803,95,20
sensible,man,67,2546,13
rodion,romanovitch,97,82,82
whole,future,889,181,10
whole,life,889,1043,34
twenty,pace,188,145,14
many,time,532,2625,22
raskolnikov,look,782,2970,15
face,work,1410,382,10
something,seem,1444,1349,15
turn,round,1279,493,65
forget,everything,458,811,13
little,town,1465,549,15
peasant,woman,259,1047,24
crowd,round,230,493,13
young,fellow,776,375,32
old,man,1356,2546,289
second,time,304,2625,30
third,time,156,2625,29
poor,boy,422,461,10
arm,round,291,493,20
voice,break,588,397,11
deep,breath,122,111,10
eye,glow,1211,37,10
previous,day,81,1711,27
catch,sight,309,144,23
chapter,vi,172,33,16
something,strange,1444,548,15
way,home,1198,469,18
strange,idea,548,798,11
young,officer,776,165,18
seem,strange,1349,548,21
begin,talk,1745,1065,23
good,deed,1595,51,16
great,man,1202,2546,18
next,morning,356,497,43
head,ache,804,58,19
begin,listen,1745,702,13
important,thing,191,1295,12
chief,point,140,586,14
notice,nothing,475,1567,10
good,heaven,1595,201,69
much,afraid,1227,541,13
peculiar,way,99,1198,10
hear,something,1132,1444,21
chapter,vii,172,29,14
minute,pass,677,521,13
begin,try,1745,630,10
silk,dress,37,285,11
left,hand,152,1662,24
think,raskolnikov,2317,782,13
begin,look,1745,2970,15
loud,voice,110,588,26
open,door,682,750,10
canal,bank,22,57,10
ask,question,1621,897,16
head,clerk,804,136,22
raskolnikov,answer,782,818,14
last,night,1586,587,77
ilya,petrovitch,40,331,33
last,week,1586,199,25
nikodim,fomitch,24,26,24
right,side,927,427,10
sick,man,120,2546,26
idea,strike,798,344,14
new,life,511,1043,36
good,lord,1595,121,26
woman,question,1047,897,13
reach,home,258,469,10
stand,beside,1039,231,11
black,eye,139,1211,17
cry,razumihin,1704,344,18
bear,witness,205,184,15
eye,fix,1211,159,35
young,lady,776,681,95
raskolnikov,ask,782,1621,17
great,thing,1202,1295,28
porfiry,petrovitch,213,331,81
third,day,156,1711,12
human,nature,100,225,14
good,look,1595,2970,14
face,look,1410,2970,27
raskolnikov,smile,782,734,10
andrey,semyonovitch,142,25,21
young,generation,776,55,17
good,sense,1595,168,15
strange,thing,548,1295,18
high,road,285,111,21
man,stand,2546,1039,11
remain,stand,302,1039,13
thousand,year,614,871,26
dear,fellow,480,375,50
shake,hand,194,1662,22
certain,point,460,586,11
stand,look,1039,2970,10
easy,chair,99,362,16
rapid,step,61,419,13
saw,nothing,589,1567,12
catch,hold,309,550,18
little,girl,1465,465,34
little,boy,1465,461,16
cry,katerina,1704,427,15
exchange,glance,58,252,13
young,girl,776,465,29
fall,asleep,272,134,19
fresh,air,75,292,18
talk,nonsense,1065,277,35
little,finger,1465,192,19
eye,flash,1211,142,35
good,manner,1595,155,12
little,time,1465,2625,11
honest,man,106,2546,19
old,age,1356,157,16
twenty,year,188,871,61
twenty,minute,188,677,16
sit,beside,1134,231,17
ask,forgiveness,1621,63,18
little,thing,1465,1295,13
many,thing,532,1295,21
dmitri,prokofitch,427,23,23
clever,man,145,2546,15
young,woman,776,1047,20
dead,man,220,2546,20
flash,eye,142,1211,12
previous,night,81,587,11
strange,smile,548,734,11
laugh,aloud,1027,149,12
cry,dounia,1704,321,11
new,idea,511,798,30
pale,face,238,1410,20
sonia,look,399,2970,10
present,moment,405,1301,18
hold,forth,550,65,12
certain,person,460,382,12
thousand,time,614,2625,15
last,word,1586,1439,43
arkady,ivanovitch,11,82,11
common,sense,90,168,14
tell,lie,2482,568,37
great,pleasure,1202,121,15
distant,relation,40,169,12
old,day,1356,1711,26
great,importance,1202,70,17
public,opinion,161,251,10
great,impression,1202,178,12
cry,sonia,1704,399,10
oh,dear,1118,480,15
cry,aloud,1704,149,13
saith,unto,13,30,12
thou,art,169,38,16
understand,nothing,1051,1567,14
important,matter,191,609,12
poor,fellow,422,375,18
young,friend,776,606,11
little,man,1465,2546,12
flush,crimson,129,58,21
little,pole,1465,125,10
whole,family,889,388,11
think,fit,2317,217,17
honourable,man,63,2546,11
whole,company,889,150,10
large,sum,201,128,12
great,friend,1202,606,19
little,hand,1465,1662,11
whole,world,889,429,45
twelve,year,82,871,10
good,family,1595,388,14
bad,sign,376,211,10
last,interview,1586,82,10
old,friend,1356,606,25
second,place,304,704,15
decent,man,37,2546,13
divinity,student,18,114,17
mean,nothing,1062,1567,17
old,lady,1356,681,119
high,rank,285,71,11
large,room,201,1129,12
new,man,511,2546,17
little,house,1465,888,12
last,hour,1586,508,14
great,respect,1202,257,11
brain,fever,127,101,14
love,life,1234,1043,10
show,sign,660,211,10
stepan,trofimovitch,525,513,512
certain,circumstance,460,195,13
varvara,petrovna,474,507,422
thou,didst,169,50,43
faint,smile,89,734,10
old,gentleman,1356,637,16
great,number,1202,120,10
great,idea,1202,798,16
lizaveta,nikolaevna,159,76,76
madame,virginsky,247,109,24
nikolay,vsyevolodovitch,518,312,312
praskovya,ivanovna,73,635,48
cry,stepan,1704,525,10
whole,time,889,2625,13
andrey,antonovitch,142,83,83
von,lembke,74,127,46
local,society,36,245,14
felt,sure,657,357,15
darya,pavlovna,62,59,49
much,agitate,1227,52,11
je,suis,46,13,10
pyotr,stepanovitch,834,509,509
great,excitement,1202,159,11
great,writer,1202,30,10
turn,crimson,1279,58,10
alexey,nilitch,226,29,28
captain,lebyadkin,258,141,23
nikolay,stavrogin,518,286,15
mavriky,nikolaevitch,149,132,132
nasty,thing,65,1295,10
anonymous,letter,24,544,17
cry,liza,1704,202,12
common,cause,90,243,11
read,aloud,561,149,12
wry,smile,14,734,11
marya,timofyevna,125,64,63
ha,ha,252,252,51
alexey,yegorytch,226,31,30
low,voice,182,588,16
old,servant,1356,214,16
guess,right,153,927,10
understand,anything,1051,796,11
cry,pyotr,1704,834,26
present,case,405,516,13
fifteen,year,142,871,14
printing,press,11,128,10
cry,shatov,1704,433,12
pyotr,verhovensky,834,91,10
last,minute,1586,677,10
forty,year,87,871,26
remain,silent,302,291,10
literary,matinée,66,23,10
old,fellow,1356,375,19
whole,heart,889,897,10
semyon,yakovlevitch,51,37,37
fifty,thousand,102,614,20
thousand,franc,614,50,32
arina,prohorovna,44,44,39
cry,madame,1704,247,11
sit,silent,1134,291,10
set,fire,420,253,19
front,door,97,750,14
great,agitation,1202,78,11
full,speed,302,18,14
marya,ignatyevna,125,45,15
pyotr,ilyitch,834,100,92
sofya,matveyevna,135,51,51
little,bag,1465,67,19
real,life,215,1043,21
dear,friend,480,606,11
fourteen,year,26,871,11
fyodor,pavlovitch,306,461,291
alexey,fyodorovitch,226,327,106
fyodorovitch,karamazov,327,168,12
adelaïda,ivanovna,14,635,14
pyotr,alexandrovitch,834,55,37
dmitri,fyodorovitch,427,327,162
elder,brother,250,548,11
yefim,petrovitch,11,331,11
ivan,fyodorovitch,797,327,55
brother,dmitri,548,427,25
brother,ivan,548,797,27
thou,wouldst,169,13,11
father,zossima,1140,97,87
cry,fyodor,1704,306,12
von,sohn,74,19,19
madame,hohlakov,247,93,90
holy,father,119,1140,11
father,païssy,1140,73,72
doctor,herzenstube,263,32,13
father,iosif,1140,19,19
ask,ivan,1621,797,12
ask,alyosha,1621,1239,25
throw,stone,329,160,10
answer,alyosha,818,1239,15
mutter,alyosha,297,1239,11
old,merchant,1356,82,10
mitya,cry,911,1704,11
cry,alyosha,1704,1239,30
marfa,ignatyevna,143,45,30
grigory,vassilyevitch,188,29,28
young,gentleman,776,637,10
green,bench,70,75,12
dmitri,karamazov,427,168,17
cry,mitya,1704,911,54
great,curiosity,1202,157,10
ivan,cry,797,1704,17
cry,ivan,1704,797,26
exclaim,alyosha,181,1239,10
agrafena,alexandrovna,41,242,39
alyosha,look,1239,2970,12
father,ferapont,1140,35,33
dear,alexey,480,226,11
marya,kondratyevna,125,26,26
till,morning,389,497,12
good,fellow,1595,375,13
kuzma,kuzmitch,29,20,20
think,mitya,2317,911,10
brass,pestle,17,39,12
ask,mitya,1621,911,10
trifon,borissovitch,45,39,39
pan,vrublevsky,29,24,15
mihail,makarovitch,25,21,21
mavriky,mavrikyevitch,149,11,11
ippolit,kirillovitch,43,41,41
nikolay,parfenovitch,518,103,103
investigate,lawyer,31,102,24
preliminary,inquiry,20,79,11
bad,action,376,157,11
polina,alexandrovna,149,242,11
alexis,ivanovitch,32,82,31
thousand,florin,614,20,14
thousand,gülden,614,69,10
general,epanchin,935,204,50
prince,lef,1984,43,11
lef,nicolaievitch,43,41,41
prince,muishkin,1984,129,32
nastasia,philipovna,417,251,243
prince,observe,1984,415,10
madame,epanchin,247,204,10
gavrila,ardalionovitch,61,67,58
ivan,fedorovitch,797,34,33
nina,alexandrovna,93,242,67
cry,gania,1704,378,11
ardalion,alexandrovitch,16,55,15
cry,aglaya,1704,480,17
princess,bielokonski,54,31,26
lizabetha,prokofievna,185,177,171
aglaya,ivanovna,480,635,59
dear,prince,480,1984,24
varvara,ardalionovna,474,23,21
general,ivolgin,935,49,34
ivan,petrovitch,797,331,32
cry,nastasia,1704,417,13
cry,lebedeff,1704,375,16
epanchin,family,204,388,10
evgenie,pavlovitch,227,461,158
poor,knight,422,34,21
cry,lizabetha,1704,185,12
vera,lebedeff,51,375,16
